municipality,region,R2_3sp_BM,sig_3sp,R2_2sp_BM,sig_2sp,R2_Qc_BM,sig_Qc,R2_Fc_BM,sig_Fc,R2_Qs_BM,sig_Qs
W1,west,0.72,***,0.53,**,0.58,**,0.14,n.s.,0.32,*
W2,west,0.87,***,0.88,***,0.68,**,0.51,**,0.62,***
W3,west,0.66,***,0.71,***,0.45,*,0.47,**,0.27,n.s.
W4,west,0.94,***,0.78,***,0.82,***,0.35,*,0.56,**
W5,west,0.67,***,0.47,**,0.62,***,0.27,n.s.,0.34,*
A,central,0.69,***,0.31,*,0.64,***,0.29,n.s.,0.25,n.s.
E1,east,0.52,**,0.46,**,0.34,*,0.16,n.s.,0.17,n.s.
E2,east,0.59,**,0.49,**,0.36,*,0.17,n.s.,0.20,n.s.
E3,east,0.78,***,0.63,***,0.61,***,0.47,**,0.47,**
E4,east,0.46,**,0.08,n.s.,0.79,***,0.17,n.s.,0.05,n.s.
E5,east,0.31,*,0.42,*,0.10,n.s.,0.22,n.s.,0.17,n.s.
Total,all,0.87,***,0.69,***,0.60,***,0.47,***,0.44,***
