year,prefecture,sightings_reports,mast_index_standardized,mast_index_source
1994,Hyogo,,-0.5084,model_estimated_posterior_mean
1995,Hyogo,,1.3049,model_estimated_posterior_mean
1996,Hyogo,,-0.3887,model_estimated_posterior_mean
1997,Hyogo,,0.1743,model_estimated_posterior_mean
1998,Hyogo,,-0.5267,model_estimated_posterior_mean
1999,Hyogo,,-0.1156,model_estimated_posterior_mean
2000,Hyogo,350,-1.0798,model_estimated_posterior_mean
2001,Hyogo,118,0.3509,model_estimated_posterior_mean
2002,Hyogo,224,-0.308,model_estimated_posterior_mean
2003,Hyogo,96,0.7066,model_estimated_posterior_mean
2004,Hyogo,985,-1.6085,model_estimated_posterior_mean
2005,Hyogo,125,0.670563,field_survey_observed
2006,Hyogo,743,0.205056,field_survey_observed
2007,Hyogo,190,1.074838,field_survey_observed
2008,Hyogo,448,0.473703,field_survey_observed
2009,Hyogo,181,1.292892,field_survey_observed
2010,Hyogo,1617,0.120576,field_survey_observed
