year,N_mean,N_sd,N_5pct,N_median,N_95pct,Nm_mean,Nm_sd,Nm_5pct,Nm_median,Nm_95pct
1994,75.1,46.4,33.5,62.5,158.8,0.0,0.0,0.0,0.0,0.0
1995,77.5,50.4,31.6,63.8,168.7,15.0,1.7,12.2,14.9,17.9
1996,97.8,59.4,42.7,82.1,205.5,24.6,4.2,18.2,24.4,31.8
1997,104.2,65.9,43.0,86.6,223.5,23.0,6.0,14.3,22.3,33.7
1998,125.5,76.3,54.5,105.0,264.4,25.8,7.8,15.0,24.6,40.1
1999,131.4,84.0,52.7,108.7,285.6,29.0,9.7,16.1,27.2,47.1
2000,150.1,96.3,59.4,124.5,326.1,32.4,11.6,17.5,30.1,54.7
2001,156.1,105.2,57.7,128.0,348.5,29.0,12.9,13.2,26.0,54.2
2002,187.1,124.4,70.5,153.9,412.0,26.4,13.7,10.4,22.8,53.8
2003,215.3,143.0,81.4,176.6,468.5,26.0,14.3,9.9,21.9,55.3
2004,268.2,176.8,103.5,220.5,579.8,24.9,14.8,9.0,20.4,55.7
2005,290.5,191.2,114.2,239.1,622.5,46.2,17.7,26.4,41.2,82.5
2006,351.7,227.4,144.2,291.0,740.4,40.4,19.4,19.0,34.8,80.4
2007,399.3,264.5,159.3,329.2,843.5,65.1,23.6,38.0,58.8,113.2
2008,502.6,327.9,207.2,416.5,1050.8,63.7,26.9,32.9,56.5,118.6
2009,596.8,392.2,242.4,497.9,1252.6,79.5,31.5,43.1,71.2,143.5
2010,780.5,524.4,313.8,648.6,1650.8,76.6,35.0,36.8,67.1,148.1
