year,hachimori,moriyoshizan,tazawako,higashinaruse,chokai,source_url,publish_date,publish_date_basis,source_file,method
2002,x,-,x,x,x,https://www.pref.akita.lg.jp/uploads/public/archive_0000077382_00/ブナ・ミズナラ豊凶結果2025.pdf,2025-11-07,page 更新日 2025年11月07日 (raw/research/akita-page.html); PDF CreationDate 2025-11-06,data-pipeline/raw/research/mast/akita-buna-mizunara-2002-2025.pdf,"pdftotext -layout text layer (pre-existing extraction; symbols x=×, -=－ 調査なし)"
2003,x,-,△,x,x,https://www.pref.akita.lg.jp/uploads/public/archive_0000077382_00/ブナ・ミズナラ豊凶結果2025.pdf,2025-11-07,page 更新日 2025年11月07日 (raw/research/akita-page.html); PDF CreationDate 2025-11-06,data-pipeline/raw/research/mast/akita-buna-mizunara-2002-2025.pdf,"pdftotext -layout text layer (pre-existing extraction; symbols x=×, -=－ 調査なし)"
2004,x,-,x,x,△,https://www.pref.akita.lg.jp/uploads/public/archive_0000077382_00/ブナ・ミズナラ豊凶結果2025.pdf,2025-11-07,page 更新日 2025年11月07日 (raw/research/akita-page.html); PDF CreationDate 2025-11-06,data-pipeline/raw/research/mast/akita-buna-mizunara-2002-2025.pdf,"pdftotext -layout text layer (pre-existing extraction; symbols x=×, -=－ 調査なし)"
2005,x,○,△,○,x,https://www.pref.akita.lg.jp/uploads/public/archive_0000077382_00/ブナ・ミズナラ豊凶結果2025.pdf,2025-11-07,page 更新日 2025年11月07日 (raw/research/akita-page.html); PDF CreationDate 2025-11-06,data-pipeline/raw/research/mast/akita-buna-mizunara-2002-2025.pdf,"pdftotext -layout text layer (pre-existing extraction; symbols x=×, -=－ 調査なし)"
2006,x,x,x,x,x,https://www.pref.akita.lg.jp/uploads/public/archive_0000077382_00/ブナ・ミズナラ豊凶結果2025.pdf,2025-11-07,page 更新日 2025年11月07日 (raw/research/akita-page.html); PDF CreationDate 2025-11-06,data-pipeline/raw/research/mast/akita-buna-mizunara-2002-2025.pdf,"pdftotext -layout text layer (pre-existing extraction; symbols x=×, -=－ 調査なし)"
2007,x,x,x,x,x,https://www.pref.akita.lg.jp/uploads/public/archive_0000077382_00/ブナ・ミズナラ豊凶結果2025.pdf,2025-11-07,page 更新日 2025年11月07日 (raw/research/akita-page.html); PDF CreationDate 2025-11-06,data-pipeline/raw/research/mast/akita-buna-mizunara-2002-2025.pdf,"pdftotext -layout text layer (pre-existing extraction; symbols x=×, -=－ 調査なし)"
2008,x,x,x,△,x,https://www.pref.akita.lg.jp/uploads/public/archive_0000077382_00/ブナ・ミズナラ豊凶結果2025.pdf,2025-11-07,page 更新日 2025年11月07日 (raw/research/akita-page.html); PDF CreationDate 2025-11-06,data-pipeline/raw/research/mast/akita-buna-mizunara-2002-2025.pdf,"pdftotext -layout text layer (pre-existing extraction; symbols x=×, -=－ 調査なし)"
2009,x,x,x,x,x,https://www.pref.akita.lg.jp/uploads/public/archive_0000077382_00/ブナ・ミズナラ豊凶結果2025.pdf,2025-11-07,page 更新日 2025年11月07日 (raw/research/akita-page.html); PDF CreationDate 2025-11-06,data-pipeline/raw/research/mast/akita-buna-mizunara-2002-2025.pdf,"pdftotext -layout text layer (pre-existing extraction; symbols x=×, -=－ 調査なし)"
2010,x,x,x,x,x,https://www.pref.akita.lg.jp/uploads/public/archive_0000077382_00/ブナ・ミズナラ豊凶結果2025.pdf,2025-11-07,page 更新日 2025年11月07日 (raw/research/akita-page.html); PDF CreationDate 2025-11-06,data-pipeline/raw/research/mast/akita-buna-mizunara-2002-2025.pdf,"pdftotext -layout text layer (pre-existing extraction; symbols x=×, -=－ 調査なし)"
2011,x,x,x,x,△,https://www.pref.akita.lg.jp/uploads/public/archive_0000077382_00/ブナ・ミズナラ豊凶結果2025.pdf,2025-11-07,page 更新日 2025年11月07日 (raw/research/akita-page.html); PDF CreationDate 2025-11-06,data-pipeline/raw/research/mast/akita-buna-mizunara-2002-2025.pdf,"pdftotext -layout text layer (pre-existing extraction; symbols x=×, -=－ 調査なし)"
