prefecture,prefecture_en,species,species_en,fiscal_year,era_label,survey_type,raw_text,text_clean,status,category,category_rule,edition,edition_count,earlier_editions,remarks,method,source_file,source_url,publish_date,publish_date_source
北海道,Hokkaido,ブナ,buna,2013,H25,fruiting,並作～豊作,並作～豊作,value,豊作,MoE rule 並作～豊作→豊作,2019-01-07,2,,ブナは道南地方のみ分布,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
北海道,Hokkaido,ミズナラ,mizunara,2013,H25,fruiting,凶作～不作,凶作～不作,value,凶作,range within 凶作/不作 bucket,2019-01-07,2,,ブナは道南地方のみ分布,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
北海道,Hokkaido,コナラ,konara,2013,H25,fruiting,－,－,no_data,,,2019-01-07,2,,ブナは道南地方のみ分布,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
青森,Aomori,ブナ,buna,2013,H25,fruiting,豊作,豊作,value,豊作,exact; 大豊作 counted as 豊作,2019-01-07,2,,東北森林管理局ブナ開花・結実調査青森県：H30並作,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
青森,Aomori,ミズナラ,mizunara,2013,H25,fruiting,－,－,no_data,,,2019-01-07,2,,東北森林管理局ブナ開花・結実調査青森県：H30並作,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
青森,Aomori,コナラ,konara,2013,H25,fruiting,－,－,no_data,,,2019-01-07,2,,東北森林管理局ブナ開花・結実調査青森県：H30並作,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
岩手,Iwate,ブナ,buna,2013,H25,fruiting,豊作,豊作,value,豊作,exact; 大豊作 counted as 豊作,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
岩手,Iwate,ミズナラ,mizunara,2013,H25,fruiting,凶作,凶作,value,凶作,exact; 不作/やや凶作 counted as 凶作 (MoE rule),2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
岩手,Iwate,コナラ,konara,2013,H25,fruiting,凶作,凶作,value,凶作,exact; 不作/やや凶作 counted as 凶作 (MoE rule),2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
宮城,Miyagi,ブナ,buna,2013,H25,fruiting,－,－,no_data,,,2019-01-07,2,,,pdfplumber extract_tables,data-pipeline/raw/research/gaps/ketujitu-wb-20190513220230.pdf,http://web.archive.org/web/20190513220230id_/https://www.env.go.jp/nature/choju/effort/effort12/ketujitu.pdf,2019-01-07,header 平成31年1月7日
