fiscal_year,species,survey_type,nakadori,aizu,overall
2022,buna,flowering,並作,豊作,並作
2022,buna,fruiting,並作,豊作,豊作
2022,mizunara,flowering,並作,並作,並作
2022,mizunara,fruiting,豊作,並作,並作
2022,konara,flowering,豊作,並作,豊作
2022,konara,fruiting,並作,並作,並作
2023,buna,flowering,大凶作,大凶作,大凶作
2023,buna,fruiting,大凶作,凶作,凶作
2023,mizunara,flowering,並作,並作,並作
2023,mizunara,fruiting,凶作,並作,並作
2023,konara,flowering,豊作,並作,並作
2023,konara,fruiting,並作,並作,並作
2024,buna,flowering,並作,並作,並作
2024,buna,fruiting,並作,並作,並作
2024,mizunara,flowering,並作,豊作,豊作
2024,mizunara,fruiting,豊作,豊作,豊作
2024,konara,flowering,豊作,豊作,並作
2024,konara,fruiting,並作,並作,並作
2025,buna,flowering,大凶作,大凶作,大凶作
2025,buna,fruiting,凶作,凶作,凶作
2025,mizunara,flowering,豊作,豊作,豊作
2025,mizunara,fruiting,凶作,凶作,凶作
2025,konara,flowering,並作,豊作,並作
2025,konara,fruiting,並作,凶作,凶作
2026,buna,flowering,豊作,豊作,豊作
2026,mizunara,flowering,並作,豊作,並作
2026,konara,flowering,豊作,豊作,豊作
