year,buna_tohoku_forest_office,buna_miyagi_survey,mizunara_miyagi_survey,source_url,publish_date,publish_date_basis,source_file,method
1998,皆無(=大凶作),,,https://www.pref.miyagi.jp/documents/24763/r7graph_2.pdf,2025-11-10,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/mast/miyagi-r7graph_2.pdf,pdftotext -layout text layer (pre-existing extraction)
1999,皆無(=大凶作),,,https://www.pref.miyagi.jp/documents/24763/r7graph_2.pdf,2025-11-10,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/mast/miyagi-r7graph_2.pdf,pdftotext -layout text layer (pre-existing extraction)
2000,豊作,,,https://www.pref.miyagi.jp/documents/24763/r7graph_2.pdf,2025-11-10,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/mast/miyagi-r7graph_2.pdf,pdftotext -layout text layer (pre-existing extraction)
2001,皆無(=大凶作),,,https://www.pref.miyagi.jp/documents/24763/r7graph_2.pdf,2025-11-10,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/mast/miyagi-r7graph_2.pdf,pdftotext -layout text layer (pre-existing extraction)
2002,凶作,,,https://www.pref.miyagi.jp/documents/24763/r7graph_2.pdf,2025-11-10,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/mast/miyagi-r7graph_2.pdf,pdftotext -layout text layer (pre-existing extraction)
2003,皆無(=大凶作),,,https://www.pref.miyagi.jp/documents/24763/r7graph_2.pdf,2025-11-10,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/mast/miyagi-r7graph_2.pdf,pdftotext -layout text layer (pre-existing extraction)
2004,並作,,,https://www.pref.miyagi.jp/documents/24763/r7graph_2.pdf,2025-11-10,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/mast/miyagi-r7graph_2.pdf,pdftotext -layout text layer (pre-existing extraction)
2005,豊作,,,https://www.pref.miyagi.jp/documents/24763/r7graph_2.pdf,2025-11-10,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/mast/miyagi-r7graph_2.pdf,pdftotext -layout text layer (pre-existing extraction)
2006,皆無(=大凶作),,,https://www.pref.miyagi.jp/documents/24763/r7graph_2.pdf,2025-11-10,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/mast/miyagi-r7graph_2.pdf,pdftotext -layout text layer (pre-existing extraction)
2007,凶作,,,https://www.pref.miyagi.jp/documents/24763/r7graph_2.pdf,2025-11-10,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/mast/miyagi-r7graph_2.pdf,pdftotext -layout text layer (pre-existing extraction)
