fiscal_year,prefecture,points_full,points_partial,points_slight,points_none,points_total,mast_index,forecast_category,source_pdf,source_url,publish_date
2023,青森県,1,2,8,25,36,0.5,大凶作,buna-r5-flowering.pdf,https://www.rinya.maff.go.jp/tohoku/attach/pdf/index-36.pdf,2023-07-05
2023,岩手県,0,1,7,15,23,0.4,大凶作,buna-r5-flowering.pdf,https://www.rinya.maff.go.jp/tohoku/attach/pdf/index-36.pdf,2023-07-05
2023,宮城県,0,0,5,1,6,0.8,大凶作,buna-r5-flowering.pdf,https://www.rinya.maff.go.jp/tohoku/attach/pdf/index-36.pdf,2023-07-05
2023,秋田県,1,2,3,47,53,0.3,大凶作,buna-r5-flowering.pdf,https://www.rinya.maff.go.jp/tohoku/attach/pdf/index-36.pdf,2023-07-05
2023,山形県,1,2,3,15,21,0.7,大凶作,buna-r5-flowering.pdf,https://www.rinya.maff.go.jp/tohoku/attach/pdf/index-36.pdf,2023-07-05
2024,青森県,19,13,3,2,37,3.7,豊作,buna-r6-flowering.pdf,https://www.rinya.maff.go.jp/tohoku/attach/pdf/index-107.pdf,2024-07-04
2024,岩手県,6,14,4,0,24,3.2,並作,buna-r6-flowering.pdf,https://www.rinya.maff.go.jp/tohoku/attach/pdf/index-107.pdf,2024-07-04
2024,宮城県,4,0,2,0,6,3.7,豊作,buna-r6-flowering.pdf,https://www.rinya.maff.go.jp/tohoku/attach/pdf/index-107.pdf,2024-07-04
2024,秋田県,12,18,15,5,50,2.6,並作,buna-r6-flowering.pdf,https://www.rinya.maff.go.jp/tohoku/attach/pdf/index-107.pdf,2024-07-04
2024,山形県,10,7,1,4,22,3.3,並作,buna-r6-flowering.pdf,https://www.rinya.maff.go.jp/tohoku/attach/pdf/index-107.pdf,2024-07-04
2025,青森県,0,3,9,26,38,0.5,大凶作,buna-r7-flowering.pdf,https://www.rinya.maff.go.jp/tohoku/attach/pdf/index-153.pdf,2025-07-11
2025,岩手県,0,4,3,17,24,0.6,大凶作,buna-r7-flowering.pdf,https://www.rinya.maff.go.jp/tohoku/attach/pdf/index-153.pdf,2025-07-11
2025,宮城県,0,0,2,4,6,0.3,大凶作,buna-r7-flowering.pdf,https://www.rinya.maff.go.jp/tohoku/attach/pdf/index-153.pdf,2025-07-11
2025,秋田県,1,1,13,36,51,0.4,大凶作,buna-r7-flowering.pdf,https://www.rinya.maff.go.jp/tohoku/attach/pdf/index-153.pdf,2025-07-11
2025,山形県,1,0,3,17,21,0.4,大凶作,buna-r7-flowering.pdf,https://www.rinya.maff.go.jp/tohoku/attach/pdf/index-153.pdf,2025-07-11
2026,青森県,22,5,4,7,38,3.4,並作,buna-r8-flowering.pdf,https://www.rinya.maff.go.jp/tohoku/attach/pdf/index-180.pdf,2026-07-07
2026,岩手県,8,14,1,1,24,3.5,豊作,buna-r8-flowering.pdf,https://www.rinya.maff.go.jp/tohoku/attach/pdf/index-180.pdf,2026-07-07
2026,宮城県,5,0,0,0,5,5.0,豊作,buna-r8-flowering.pdf,https://www.rinya.maff.go.jp/tohoku/attach/pdf/index-180.pdf,2026-07-07
2026,秋田県,27,12,11,0,50,3.6,豊作,buna-r8-flowering.pdf,https://www.rinya.maff.go.jp/tohoku/attach/pdf/index-180.pdf,2026-07-07
2026,山形県,14,5,2,1,22,4.0,豊作,buna-r8-flowering.pdf,https://www.rinya.maff.go.jp/tohoku/attach/pdf/index-180.pdf,2026-07-07
