fiscal_year,prefecture,points_full,points_partial,points_slight,points_none,points_total,mast_index,actual_category,source_pdf,source_url,publish_date,method,notes
2012,青森県,0,1,11,26,38,0.4,皆無,tohoku-buna-45.pdf,https://www.rinya.maff.go.jp/tohoku/sidou/attach/pdf/buna-45.pdf,2012-11-21,visual read of scanned PDF (no text layer; page rendered with pdftoppm and read with the Read tool),
2012,岩手県,0,0,1,23,24,0.04,皆無,tohoku-buna-45.pdf,https://www.rinya.maff.go.jp/tohoku/sidou/attach/pdf/buna-45.pdf,2012-11-21,visual read of scanned PDF (no text layer; page rendered with pdftoppm and read with the Read tool),index printed to two decimals in the PDF
2012,宮城県,1,2,2,1,6,2.2,並作,tohoku-buna-45.pdf,https://www.rinya.maff.go.jp/tohoku/sidou/attach/pdf/buna-45.pdf,2012-11-21,visual read of scanned PDF (no text layer; page rendered with pdftoppm and read with the Read tool),
2012,秋田県,1,1,28,25,55,0.7,皆無,tohoku-buna-45.pdf,https://www.rinya.maff.go.jp/tohoku/sidou/attach/pdf/buna-45.pdf,2012-11-21,visual read of scanned PDF (no text layer; page rendered with pdftoppm and read with the Read tool),
2012,山形県,0,0,4,18,22,0.2,皆無,tohoku-buna-45.pdf,https://www.rinya.maff.go.jp/tohoku/sidou/attach/pdf/buna-45.pdf,2012-11-21,visual read of scanned PDF (no text layer; page rendered with pdftoppm and read with the Read tool),
2013,青森県,18,10,8,2,38,3.4,並作,tohoku-buna-46.pdf,https://www.rinya.maff.go.jp/tohoku/sidou/attach/pdf/buna-46.pdf,2013-11-22,pdftotext -layout text layer,
2013,岩手県,14,6,2,2,24,3.8,豊作,tohoku-buna-46.pdf,https://www.rinya.maff.go.jp/tohoku/sidou/attach/pdf/buna-46.pdf,2013-11-22,pdftotext -layout text layer,
2013,宮城県,6,0,0,0,6,5.0,豊作,tohoku-buna-46.pdf,https://www.rinya.maff.go.jp/tohoku/sidou/attach/pdf/buna-46.pdf,2013-11-22,pdftotext -layout text layer,
2013,秋田県,21,10,24,0,55,2.9,並作,tohoku-buna-46.pdf,https://www.rinya.maff.go.jp/tohoku/sidou/attach/pdf/buna-46.pdf,2013-11-22,pdftotext -layout text layer,
2013,山形県,4,7,10,1,22,2.3,並作,tohoku-buna-46.pdf,https://www.rinya.maff.go.jp/tohoku/sidou/attach/pdf/buna-46.pdf,2013-11-22,pdftotext -layout text layer,
2014,青森県,1,1,17,18,37,0.8,皆無,tohoku-buna-48.pdf,https://www.rinya.maff.go.jp/tohoku/sidou/attach/pdf/buna-48.pdf,2015-03-27,pdftotext -layout text layer,"printed 0.8 in buna-48 but the printed counts 1/1/17/18 of 37 give 0.68; the office's later summary tables (buna-50, buna-52, buna-12) restate this year as 0.7, the archive page as 0.8; kept as printed in the primary. Release dated 2015-03-27"
2014,岩手県,0,0,4,20,24,0.2,皆無,tohoku-buna-48.pdf,https://www.rinya.maff.go.jp/tohoku/sidou/attach/pdf/buna-48.pdf,2015-03-27,pdftotext -layout text layer,
2014,宮城県,0,0,4,2,6,0.7,皆無,tohoku-buna-48.pdf,https://www.rinya.maff.go.jp/tohoku/sidou/attach/pdf/buna-48.pdf,2015-03-27,pdftotext -layout text layer,
2014,秋田県,0,2,13,39,54,0.4,皆無,tohoku-buna-48.pdf,https://www.rinya.maff.go.jp/tohoku/sidou/attach/pdf/buna-48.pdf,2015-03-27,pdftotext -layout text layer,
2014,山形県,0,0,5,17,22,0.2,皆無,tohoku-buna-48.pdf,https://www.rinya.maff.go.jp/tohoku/sidou/attach/pdf/buna-48.pdf,2015-03-27,pdftotext -layout text layer,2 points not surveyed (road washout)
2015,青森県,6,9,16,6,37,2.0,並作,tohoku-buna-50.pdf,https://www.rinya.maff.go.jp/tohoku/sidou/attach/pdf/buna-50.pdf,2015-12-09,pdftotext -layout text layer,
