year,era_year,species,species_ja,region,category,category_code,site_note,survey_sites,trees_surveyed,n_sites_houasaku,n_sites_namisaku,n_sites_fusaku,n_sites_kyousaku,n_sites_unresolved,count_method,survey_timing,source_file,source_url,publish_date,publish_date_basis,method,note
2006,H18,buna,ブナ,prefecture,凶作,1,,,,,,,,,,,data-pipeline/raw/research/toyama/no-figure_r2houkyou_20200902hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_r2houkyou_20200902hp.pdf,2020-09-02,date in file name (…_20200902hp),pdftotext -layout text layer,"retrospective: comparison table in the 2020 report (平成18,22、令和元年 県下全域: ブナ凶作 ミズナラ凶作 コナラ不作); same statement in the 2018 report"
2006,H18,mizunara,ミズナラ,prefecture,凶作,1,,,,,,,,,,,data-pipeline/raw/research/toyama/no-figure_r2houkyou_20200902hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_r2houkyou_20200902hp.pdf,2020-09-02,date in file name (…_20200902hp),pdftotext -layout text layer,"retrospective: comparison table in the 2020 report (平成18,22、令和元年 県下全域: ブナ凶作 ミズナラ凶作 コナラ不作); same statement in the 2018 report"
2006,H18,konara,コナラ,prefecture,不作,2,,,,,,,,,,,data-pipeline/raw/research/toyama/no-figure_r2houkyou_20200902hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_r2houkyou_20200902hp.pdf,2020-09-02,date in file name (…_20200902hp),pdftotext -layout text layer,"retrospective: comparison table in the 2020 report (平成18,22、令和元年 県下全域: ブナ凶作 ミズナラ凶作 コナラ不作); same statement in the 2018 report"
2010,H22,buna,ブナ,prefecture,凶作,1,,,,,,,,,,,data-pipeline/raw/research/toyama/no-figure_r2houkyou_20200902hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_r2houkyou_20200902hp.pdf,2020-09-02,date in file name (…_20200902hp),pdftotext -layout text layer,"retrospective: comparison table in the 2020 report (平成18,22、令和元年 県下全域: ブナ凶作 ミズナラ凶作 コナラ不作); same statement in the 2018 report"
2010,H22,mizunara,ミズナラ,prefecture,凶作,1,,,,,,,,,,,data-pipeline/raw/research/toyama/no-figure_r2houkyou_20200902hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_r2houkyou_20200902hp.pdf,2020-09-02,date in file name (…_20200902hp),pdftotext -layout text layer,"retrospective: comparison table in the 2020 report (平成18,22、令和元年 県下全域: ブナ凶作 ミズナラ凶作 コナラ不作); same statement in the 2018 report"
2010,H22,konara,コナラ,prefecture,不作,2,,,,,,,,,,,data-pipeline/raw/research/toyama/no-figure_r2houkyou_20200902hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_r2houkyou_20200902hp.pdf,2020-09-02,date in file name (…_20200902hp),pdftotext -layout text layer,"retrospective: comparison table in the 2020 report (平成18,22、令和元年 県下全域: ブナ凶作 ミズナラ凶作 コナラ不作); same statement in the 2018 report"
2015,H27,buna,ブナ,prefecture,並作,3,凶作だった昨年より良い,14,303,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_h27houkyou_20150828hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_h27houkyou_20150828hp.pdf,2015-08-28,date in file name (…_20150828hp),pdftotext -layout text layer,14 sites (馬場島 not yet in the list)
2015,H27,mizunara,ミズナラ,prefecture,並作,3,凶作だった昨年より良い,16,368,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_h27houkyou_20150828hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_h27houkyou_20150828hp.pdf,2015-08-28,date in file name (…_20150828hp),pdftotext -layout text layer,
2015,H27,konara,コナラ,prefecture,不作,2,並作だった昨年よりやや悪い,9,203,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_h27houkyou_20150828hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_h27houkyou_20150828hp.pdf,2015-08-28,date in file name (…_20150828hp),pdftotext -layout text layer,
2016,H28,buna,ブナ,prefecture,,,,15,324,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/no-figure_h28houkyou_20160905hp.pdf,https://www.pref.toyama.jp/documents/21689/no-figure_h28houkyou_20160905hp.pdf,2016-09-05,date in file name (…_20160905hp),pdftotext -layout text layer,no 全県 category printed; 15 sites / 324 trees is the prefecture total
