site,h15_2003,h16_2004,h17_2005,h18_2006,h19_2007,h20_2008,h21_2009,h22_2010,h23_2011,h24_2012,h25_2013,h26_2014,h27_2015,h28_2016,h29_2017,h30_2018,r1_2019,r2_2020,r3_2021,r4_2022,r5_2023,r6_2024,r7_2025
yunodai,,,,凶作,凶作,凶作,凶作,凶作,凶作,並作,凶作,豊作,凶作,凶作,凶作,凶作,凶作,凶作,凶作,豊作,,凶作,並作,凶作
haguroyama,,,,凶作,凶作,凶作,凶作,凶作,並作,凶作,凶作,凶作,並作,凶作,凶作,凶作,並作,,,,凶作,凶作,凶作
sekigawa,,,,並作,凶作,豊作,凶作,豊作,凶作,凶作,凶作,,,凶作,凶作,並作,凶作,凶作,凶作,凶作,,凶作,並作,凶作
numanodai,,,,凶作,凶作,凶作,凶作,凶作,凶作,豊作,凶作,凶作,並作,凶作,凶作,凶作,凶作,,,,凶作,凶作,並作,凶作
nishikomata,凶作,凶作,豊作,凶作,凶作,凶作,凶作,凶作,並作,凶作,並作,凶作,豊作,凶作,凶作,並作,凶作,凶作,凶作,凶作,,凶作,並作,凶作
yozotoge,凶作,凶作,豊作,凶作,凶作,凶作,凶作,凶作,凶作,凶作,豊作,凶作,豊作,凶作,凶作,凶作,凶作,凶作,凶作,並作,,凶作,,
nabekoshitoge,凶作,凶作,豊作,凶作,凶作,凶作,凶作,凶作,凶作,凶作,並作,凶作,豊作,凶作,凶作,並作,凶作,凶作,凶作,凶作,,凶作,並作,凶作
yumihariidaira,凶作,凶作,豊作,凶作,凶作,凶作,凶作,凶作,凶作,凶作,並作,凶作,豊作,凶作,凶作,並作,凶作,凶作,凶作,並作,,凶作,並作,凶作
irita_sawa,,,,凶作,凶作,凶作,凶作,並作,凶作,凶作,凶作,凶作,豊作,凶作,凶作,,,,,凶作,凶作,並作,凶作,
gassan_museum,並作,凶作,豊作,凶作,凶作,並作,凶作,凶作,豊作,凶作,豊作,凶作,豊作,凶作,凶作,豊作,凶作,凶作,豊作,凶作,,凶作,豊作,凶作
hanatatetoge,凶作,凶作,並作,,凶作,凶作,凶作,凶作,凶作,凶作,凶作,並作,凶作,豊作,凶作,凶作,凶作,凶作,凶作,凶作,,凶作,並作,
kanazawa,,,,,,,,,,,,,,,,,,,,,,,凶作
kurobushi,凶作,凶作,豊作,,凶作,凶作,凶作,凶作,並作,凶作,豊作,凶作,豊作,凶作,凶作,凶作,凶作,凶作,凶作,凶作,,凶作,並作,凶作
zao_torikabuto,,,,凶作,凶作,並作,凶作,凶作,凶作,豊作,凶作,並作,凶作,凶作,凶作,凶作,凶作,凶作,凶作,豊作,,凶作,並作,凶作
komadate,,,,凶作,凶作,凶作,凶作,豊作,凶作,凶作,凶作,並作,凶作,凶作,凶作,,凶作,凶作,凶作,,,凶作,凶作,
tokuami,,,,凶作,凶作,凶作,凶作,豊作,凶作,凶作,凶作,豊作,凶作,凶作,並作,並作,,,,,,凶作,凶作,凶作
hayama,,,,凶作,凶作,凶作,凶作,凶作,凶作,並作,凶作,凶作,並作,凶作,凶作,豊作,並作,,,,,凶作,豊作,凶作
