year,total,gun1,gun2,net,trap,net_trap_combined,age60plus,total_by_age_table,source_url,source_url_age,publish_date,publish_date_basis,source_file,method,note
1975,517800,493700,16000,,,8000,45700,517800,https://www.env.go.jp/nature/choju/docs/docs4/syubetu.pdf,https://www.env.go.jp/nature/choju/docs/docs4/nenreibetu.pdf,2025-11-19,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/baseline/syubetu.pdf; nenreibetu.pdf,pdfplumber words assigned to nearest year-header x0,rounded to the nearest 100 by MoE; 1975-2005 every five years
1980,460800,427100,21900,,,11700,42300,460800,https://www.env.go.jp/nature/choju/docs/docs4/syubetu.pdf,https://www.env.go.jp/nature/choju/docs/docs4/nenreibetu.pdf,2025-11-19,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/baseline/syubetu.pdf; nenreibetu.pdf,pdfplumber words assigned to nearest year-header x0,rounded to the nearest 100 by MoE; 1975-2005 every five years
1985,326300,297000,15700,,,13600,41700,326300,https://www.env.go.jp/nature/choju/docs/docs4/syubetu.pdf,https://www.env.go.jp/nature/choju/docs/docs4/nenreibetu.pdf,2025-11-19,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/baseline/syubetu.pdf; nenreibetu.pdf,pdfplumber words assigned to nearest year-header x0,rounded to the nearest 100 by MoE; 1975-2005 every five years
1990,289500,258100,14800,,,16600,59100,289500,https://www.env.go.jp/nature/choju/docs/docs4/syubetu.pdf,https://www.env.go.jp/nature/choju/docs/docs4/nenreibetu.pdf,2025-11-19,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/baseline/syubetu.pdf; nenreibetu.pdf,pdfplumber words assigned to nearest year-header x0,rounded to the nearest 100 by MoE; 1975-2005 every five years
1995,246000,208600,16100,,,21300,74000,246100,https://www.env.go.jp/nature/choju/docs/docs4/syubetu.pdf,https://www.env.go.jp/nature/choju/docs/docs4/nenreibetu.pdf,2025-11-19,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/baseline/syubetu.pdf; nenreibetu.pdf,pdfplumber words assigned to nearest year-header x0,rounded to the nearest 100 by MoE; 1975-2005 every five years
2000,210200,170500,8500,,,31300,81000,210200,https://www.env.go.jp/nature/choju/docs/docs4/syubetu.pdf,https://www.env.go.jp/nature/choju/docs/docs4/nenreibetu.pdf,2025-11-19,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/baseline/syubetu.pdf; nenreibetu.pdf,pdfplumber words assigned to nearest year-header x0,rounded to the nearest 100 by MoE; 1975-2005 every five years
2005,203600,152800,3300,,,47600,103500,203600,https://www.env.go.jp/nature/choju/docs/docs4/syubetu.pdf,https://www.env.go.jp/nature/choju/docs/docs4/nenreibetu.pdf,2025-11-19,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/baseline/syubetu.pdf; nenreibetu.pdf,pdfplumber words assigned to nearest year-header x0,rounded to the nearest 100 by MoE; 1975-2005 every five years
2006,186700,135300,2800,,,48600,96600,186600,https://www.env.go.jp/nature/choju/docs/docs4/syubetu.pdf,https://www.env.go.jp/nature/choju/docs/docs4/nenreibetu.pdf,2025-11-19,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/baseline/syubetu.pdf; nenreibetu.pdf,pdfplumber words assigned to nearest year-header x0,rounded to the nearest 100 by MoE; 1975-2005 every five years
2007,228900,136000,2600,38700,51600,,129200,228900,https://www.env.go.jp/nature/choju/docs/docs4/syubetu.pdf,https://www.env.go.jp/nature/choju/docs/docs4/nenreibetu.pdf,2025-11-19,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/baseline/syubetu.pdf; nenreibetu.pdf,pdfplumber words assigned to nearest year-header x0,rounded to the nearest 100 by MoE; 1975-2005 every five years
2008,221500,135400,2500,30100,53600,,134300,221500,https://www.env.go.jp/nature/choju/docs/docs4/syubetu.pdf,https://www.env.go.jp/nature/choju/docs/docs4/nenreibetu.pdf,2025-11-19,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/baseline/syubetu.pdf; nenreibetu.pdf,pdfplumber words assigned to nearest year-header x0,rounded to the nearest 100 by MoE; 1975-2005 every five years
2009,185900,117500,2200,8400,57800,,114300,185900,https://www.env.go.jp/nature/choju/docs/docs4/syubetu.pdf,https://www.env.go.jp/nature/choju/docs/docs4/nenreibetu.pdf,2025-11-19,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/baseline/syubetu.pdf; nenreibetu.pdf,pdfplumber words assigned to nearest year-header x0,rounded to the nearest 100 by MoE; 1975-2005 every five years
2010,190200,116500,2100,7300,64300,,121700,190200,https://www.env.go.jp/nature/choju/docs/docs4/syubetu.pdf,https://www.env.go.jp/nature/choju/docs/docs4/nenreibetu.pdf,2025-11-19,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/baseline/syubetu.pdf; nenreibetu.pdf,pdfplumber words assigned to nearest year-header x0,rounded to the nearest 100 by MoE; 1975-2005 every five years
2011,198400,116100,2100,7300,72900,,131000,198400,https://www.env.go.jp/nature/choju/docs/docs4/syubetu.pdf,https://www.env.go.jp/nature/choju/docs/docs4/nenreibetu.pdf,2025-11-19,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/baseline/syubetu.pdf; nenreibetu.pdf,pdfplumber words assigned to nearest year-header x0,rounded to the nearest 100 by MoE; 1975-2005 every five years
2012,180700,96200,1900,6500,76000,,117400,180700,https://www.env.go.jp/nature/choju/docs/docs4/syubetu.pdf,https://www.env.go.jp/nature/choju/docs/docs4/nenreibetu.pdf,2025-11-19,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/baseline/syubetu.pdf; nenreibetu.pdf,pdfplumber words assigned to nearest year-header x0,rounded to the nearest 100 by MoE; 1975-2005 every five years
2013,185300,96400,1900,6500,80600,,122800,185300,https://www.env.go.jp/nature/choju/docs/docs4/syubetu.pdf,https://www.env.go.jp/nature/choju/docs/docs4/nenreibetu.pdf,2025-11-19,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/baseline/syubetu.pdf; nenreibetu.pdf,pdfplumber words assigned to nearest year-header x0,rounded to the nearest 100 by MoE; 1975-2005 every five years
2014,193800,98000,1900,6800,87100,,128600,193800,https://www.env.go.jp/nature/choju/docs/docs4/syubetu.pdf,https://www.env.go.jp/nature/choju/docs/docs4/nenreibetu.pdf,2025-11-19,PDF CreationDate (pdfinfo); no date printed in the file,data-pipeline/raw/research/baseline/syubetu.pdf; nenreibetu.pdf,pdfplumber words assigned to nearest year-header x0,rounded to the nearest 100 by MoE; 1975-2005 every five years
