fiscal_year,month,calendar_year,injured,killed,incidents,status,source_url,publish_date,pdf_created,source_file,method
2014,4,2014,5,0,5,closed,https://www.env.go.jp/nature/choju/effort/effort12/h26injury-qe.pdf,2025-06-14,2023-12-04,raw/research/moe/h26injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2014,5,2014,12,0,11,closed,https://www.env.go.jp/nature/choju/effort/effort12/h26injury-qe.pdf,2025-06-14,2023-12-04,raw/research/moe/h26injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2014,6,2014,11,0,11,closed,https://www.env.go.jp/nature/choju/effort/effort12/h26injury-qe.pdf,2025-06-14,2023-12-04,raw/research/moe/h26injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2014,7,2014,5,0,5,closed,https://www.env.go.jp/nature/choju/effort/effort12/h26injury-qe.pdf,2025-06-14,2023-12-04,raw/research/moe/h26injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2014,8,2014,12,0,12,closed,https://www.env.go.jp/nature/choju/effort/effort12/h26injury-qe.pdf,2025-06-14,2023-12-04,raw/research/moe/h26injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2014,9,2014,34,0,31,closed,https://www.env.go.jp/nature/choju/effort/effort12/h26injury-qe.pdf,2025-06-14,2023-12-04,raw/research/moe/h26injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2014,10,2014,26,0,25,closed,https://www.env.go.jp/nature/choju/effort/effort12/h26injury-qe.pdf,2025-06-14,2023-12-04,raw/research/moe/h26injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2014,11,2014,13,1,12,closed,https://www.env.go.jp/nature/choju/effort/effort12/h26injury-qe.pdf,2025-06-14,2023-12-04,raw/research/moe/h26injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2014,12,2014,1,0,1,closed,https://www.env.go.jp/nature/choju/effort/effort12/h26injury-qe.pdf,2025-06-14,2023-12-04,raw/research/moe/h26injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2014,1,2015,1,1,1,closed,https://www.env.go.jp/nature/choju/effort/effort12/h26injury-qe.pdf,2025-06-14,2023-12-04,raw/research/moe/h26injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2014,2,2015,1,0,1,closed,https://www.env.go.jp/nature/choju/effort/effort12/h26injury-qe.pdf,2025-06-14,2023-12-04,raw/research/moe/h26injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2014,3,2015,1,0,1,closed,https://www.env.go.jp/nature/choju/effort/effort12/h26injury-qe.pdf,2025-06-14,2023-12-04,raw/research/moe/h26injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2015,4,2015,5,0,5,closed,https://www.env.go.jp/nature/choju/effort/effort12/h27injury-qe.pdf,2025-06-14,2023-12-04,raw/research/moe/h27injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2015,5,2015,15,0,15,closed,https://www.env.go.jp/nature/choju/effort/effort12/h27injury-qe.pdf,2025-06-14,2023-12-04,raw/research/moe/h27injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
