prefecture,latest_estimate,latest_year,2010s_estimate,2010s_year,pre2010_estimate,pre2010_year
Hokkaido,11600,2023,10800,2014,5400,1991
Aomori,1614,2022,1181,2019,,
Iwate,3700,2020,3400,2017,1100,2006
Miyagi,3147,2020,1669,2014,633,2008
Akita,2900,2024,1429,2017,1052,2010
Yamagata,2300,2021,2600,2016,1500,2007
Fukushima,5576,2020,2970,2015,,
Tochigi,961,2024,461,2014,338,2004
Gunma,2022,2020,1082,2012,,
Niigata,1118,2023,1574,2017,1080,2010
Toyama,1449,2024,1290,2017,740,2008
Ishikawa,1201,2021,1052,2017,560,1995
Fukui,1217,2024,950,2016,850,2009
Yamanashi,527,2020,723,2012,400,2000
Nagano,7270,2020,3940,2015,2770,2007
Gifu,3717,2022,2904,2016,1519,2006
Shizuoka,543,2024,,,,
Shiga,316,2023,296,2012,,
Kyoto,1639,2020,1278,2015,300,2005
Kitakinki_East(Fukui/Shiga/Kyoto),1166,2024,,,,
Kitakinki_West(Kyoto/Hyogo),762,2021,,,,
Higashi_Chugoku(Hyogo/Tottori/Okayama),763,2024,,,,
Nishi_Chugoku(Shimane/Hiroshima/Yamaguchi),1307,2020,850,2015,480,1999
Kii_Peninsula(Nara/Wakayama/Mie),467,2024,,,180,1998
Shikoku(Tokushima/Kochi),26,2024,,,,
