prefecture,fiscal_year,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月,合計,source
三重,2013,0,3,3,1,0,2,0,1,1,1,,,12,wayback-2016-12-23
京都,2013,19,114,129,153,163,130,159,173,30,3,2,2,1077,wayback-2016-12-23
兵庫,2013,13,68,86,69,73,59,70,47,21,4,2,1,513,wayback-2016-12-23
和歌山,2013,0,2,2,5,15,11,3,4,4,0,1,1,48,wayback-2016-12-23
埼玉,2013,1,6,11,7,6,2,3,4,0,0,0,0,40,wayback-2016-12-23
大阪,2013,0,0,0,0,,,0,0,0,0,0,,0,wayback-2016-12-23
奈良,2013,2,1,11,7,6,1,2,1,0,0,0,0,31,wayback-2016-12-23
宮城,2013,13,66,106,104,140,50,13,7,9,2,1,1,512,wayback-2016-12-23
富山,2013,11,16,34,33,12,24,14,8,4,2,1,2,161,wayback-2016-12-23
山口,2013,7,15,8,28,16,19,30,38,7,3,0,3,174,wayback-2016-12-23
山形,2013,7,23,76,46,34,10,6,4,0,0,0,1,207,wayback-2016-12-23
山梨,2013,3,5,21,27,10,14,5,3,3,2,0,1,94,wayback-2016-12-23
岐阜,2013,24,39,96,71,70,34,6,7,6,0,1,4,358,wayback-2016-12-23
岡山,2013,1,8,8,9,12,7,3,8,2,3,,,61,wayback-2016-12-23
岩手,2013,64,234,420,374,506,167,67,43,16,1,1,2,1895,wayback-2016-12-23
島根,2013,31,75,98,113,74,33,56,73,24,1,0,4,582,wayback-2016-12-23
広島,2013,12,31,45,41,34,47,43,48,11,2,0,2,316,wayback-2016-12-23
徳島,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,wayback-2016-12-23
愛媛,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,wayback-2016-12-23
愛知,2013,0,2,3,0,0,4,1,1,0,1,1,0,13,wayback-2016-12-23
新潟,2013,22,46,59,60,42,31,19,11,10,0,0,2,302,wayback-2016-12-23
東京,2013,1,3,3,2,7,2,2,0,,,0,0,20,wayback-2016-12-23
栃木,2013,5,8,18,14,21,6,4,4,0,0,0,0,80,wayback-2016-12-23
滋賀,2013,3,7,12,15,2,5,4,4,0,1,0,1,54,wayback-2016-12-23
