prefecture,FY2022_R04_total,FY2023_R05_total,FY2024_R06_total,FY2025_R07_total,FY2026_R08_provisional_total
北海道,－,－,－,－,－
青森,293,"1,146",725,"3,334",648
岩手,"2,179","5,877","2,883","9,739","2,976"
宮城,549,"1,357",800,"3,559",805
秋田,730,"3,723","1,340","13,592","2,107"
山形,377,772,357,"3,124",523
福島,385,709,618,"2,047",589
茨城,－,0,0,1,0
栃木,88,142,255,305,149
群馬,473,715,678,"1,398",373
埼玉,78,144,108,172,48
千葉,-,-,-,-,-
東京,96,114,181,212,47
神奈川,76,80,122,91,16
新潟,599,"1,450",925,"3,528",439
富山,223,641,326,"1,068",154
石川,248,276,424,384,143
福井,313,766,897,950,325
山梨,117,172,315,352,101
長野,770,"1,406","1,430","1,324",494
岐阜,250,660,674,"1,104",411
静岡,21,121,156,200,60
愛知,20,19,19,22,28
三重,19,40,162,98,27
滋賀,52,92,178,140,66
京都,988,868,"1,908","1,241",572
大阪,7,11,15,25,9
兵庫,509,524,"1,128",510,308
奈良,70,58,143,147,34
和歌山,57,47,180,99,40
鳥取,104,164,272,95,65
島根,581,964,"1,561",891,597
岡山,127,119,134,42,42
広島,483,724,789,592,284
山口,254,444,799,408,147
徳島,-,1,7,7,1
香川,-,0,0,0,0
愛媛,-,0,0,0,0
高知,-,2,4,0,0
計,"11,136","24,348","20,513","50,801","12,628"
