fiscal_year,month,bear_reports,sighting,trace_food_damage,trace_other,injury,as_of,source_url
2022,4,24,24,0,0,0,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2022,5,125,122,0,0,3,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2022,6,297,294,0,0,3,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2022,7,223,221,2,0,0,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2022,8,123,118,5,0,0,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2022,9,49,47,2,0,0,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2022,10,11,11,0,0,0,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2022,11,4,4,0,0,0,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2022,12,1,1,0,0,0,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2022,2,1,1,0,0,0,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2022,3,6,6,0,0,0,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2023,4,29,28,0,1,0,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2023,5,161,157,0,1,3,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2023,6,250,248,0,0,2,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2023,7,274,264,5,1,4,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2023,8,262,239,19,1,3,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2023,9,695,628,45,6,16,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2023,10,1488,1396,46,12,34,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2023,11,590,566,15,1,8,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2023,12,81,79,2,0,0,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2023,1,16,16,0,0,0,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2023,2,22,21,0,1,0,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2023,3,27,27,0,0,0,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2024,4,89,87,0,2,0,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2024,5,215,206,1,4,4,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2024,6,248,241,2,4,1,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2024,7,347,325,10,10,2,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2024,8,223,204,8,9,2,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2024,9,83,79,1,3,0,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2024,10,39,38,0,1,0,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2024,11,64,63,0,0,1,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2024,12,115,102,0,13,0,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2024,1,133,98,1,34,0,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2024,2,7,7,0,0,0,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2024,3,23,20,0,3,0,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2025,4,85,85,0,0,0,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2025,5,397,389,0,7,1,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2025,6,825,804,5,15,1,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2025,7,1055,989,41,23,2,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2025,8,766,645,95,22,4,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2025,9,926,867,26,23,10,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2025,10,5810,5583,65,128,34,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2025,11,3333,3160,42,122,9,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2025,12,312,278,1,32,1,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2025,1,30,26,0,4,0,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2025,2,24,19,0,5,0,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2025,3,29,28,0,1,0,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2026,4,395,385,1,9,0,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2026,5,844,815,1,26,2,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2026,6,874,836,2,33,3,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2026,7,904,882,3,17,2,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
2026,8,251,235,11,5,0,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003
