fiscal_year,month,count,as_of,note,source_url
2021,1,4,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2021,2,3,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2021,3,9,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2021,4,184,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2021,5,392,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2021,6,593,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2021,7,519,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2021,8,501,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2021,9,206,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2021,10,120,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2021,11,53,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2021,12,18,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2022,1,4,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2022,2,3,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2022,3,16,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2022,4,110,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2022,5,353,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2022,6,588,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2022,7,413,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2022,8,450,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2022,9,135,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2022,10,51,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2022,11,38,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2022,12,18,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2023,1,15,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2023,2,16,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2023,3,28,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2023,4,212,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2023,5,534,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2023,6,896,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2023,7,675,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2023,8,561,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2023,9,653,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2023,10,1627,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2023,11,584,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2023,12,76,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2024,1,17,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2024,2,9,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2024,3,26,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2024,4,170,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2024,5,561,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2024,6,708,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2024,7,554,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2024,8,438,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2024,9,142,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2024,10,105,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2024,11,79,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2024,12,74,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2025,1,75,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2025,2,53,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2025,3,69,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2025,4,224,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2025,5,534,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2025,6,825,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2025,7,1056,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2025,8,871,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2025,9,1052,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2025,10,3088,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2025,11,1620,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2025,12,272,2026-08-21,,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2026,4,376,2026-08-21,Iwate changed to counting through the Bears app in April 2026; the prefecture says FY2026 differs in nature from earlier years.,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2026,5,934,2026-08-21,Iwate changed to counting through the Bears app in April 2026; the prefecture says FY2026 differs in nature from earlier years.,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2026,6,1666,2026-08-21,Iwate changed to counting through the Bears app in April 2026; the prefecture says FY2026 differs in nature from earlier years.,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
2026,7,1326,2026-08-21,Iwate changed to counting through the Bears app in April 2026; the prefecture says FY2026 differs in nature from earlier years.,https://www.pref.iwate.jp/kurashikankyou/shizen/yasei/1049881/1056087.html
