fiscal_year,month,count,as_of,source_url
2026,1,0,2026-09-02,https://www.pref.miyagi.jp/soshiki/sizenhogo/r8kumamokugeki.html
2026,2,0,2026-09-02,https://www.pref.miyagi.jp/soshiki/sizenhogo/r8kumamokugeki.html
2026,3,0,2026-09-02,https://www.pref.miyagi.jp/soshiki/sizenhogo/r8kumamokugeki.html
2026,4,141,2026-09-02,https://www.pref.miyagi.jp/soshiki/sizenhogo/r8kumamokugeki.html
2026,5,318,2026-09-02,https://www.pref.miyagi.jp/soshiki/sizenhogo/r8kumamokugeki.html
2026,6,347,2026-09-02,https://www.pref.miyagi.jp/soshiki/sizenhogo/r8kumamokugeki.html
2026,7,222,2026-09-02,https://www.pref.miyagi.jp/soshiki/sizenhogo/r8kumamokugeki.html
2026,8,132,2026-09-02,https://www.pref.miyagi.jp/soshiki/sizenhogo/r8kumamokugeki.html
2026,9,0,2026-09-02,https://www.pref.miyagi.jp/soshiki/sizenhogo/r8kumamokugeki.html
2026,10,0,2026-09-02,https://www.pref.miyagi.jp/soshiki/sizenhogo/r8kumamokugeki.html
2026,11,0,2026-09-02,https://www.pref.miyagi.jp/soshiki/sizenhogo/r8kumamokugeki.html
2026,12,0,2026-09-02,https://www.pref.miyagi.jp/soshiki/sizenhogo/r8kumamokugeki.html
