pref,pref_ja,fiscal_year,month,count,as_of,source_url,source_title,format,comparable,method_note
akita,秋田,2026,4,395,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003,"秋田県 クマダス (ツキノワグマ出没情報) open data, CC BY 4.0",CSV (CKAN open data),true,"bear_reports column of akita_monthly.csv = sightings + food-damage traces + other traces + injuries, the same 出没 series as the ministry's table (FY2025 total 13,592 in both). Month values copied from akita_monthly.csv; August's as_of equals the month end, so late-filed August reports may still be missing."
akita,秋田,2026,5,844,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003,"秋田県 クマダス (ツキノワグマ出没情報) open data, CC BY 4.0",CSV (CKAN open data),true,"bear_reports column of akita_monthly.csv = sightings + food-damage traces + other traces + injuries, the same 出没 series as the ministry's table (FY2025 total 13,592 in both). Month values copied from akita_monthly.csv; August's as_of equals the month end, so late-filed August reports may still be missing."
akita,秋田,2026,6,874,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003,"秋田県 クマダス (ツキノワグマ出没情報) open data, CC BY 4.0",CSV (CKAN open data),true,"bear_reports column of akita_monthly.csv = sightings + food-damage traces + other traces + injuries, the same 出没 series as the ministry's table (FY2025 total 13,592 in both). Month values copied from akita_monthly.csv; August's as_of equals the month end, so late-filed August reports may still be missing."
akita,秋田,2026,7,904,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003,"秋田県 クマダス (ツキノワグマ出没情報) open data, CC BY 4.0",CSV (CKAN open data),true,"bear_reports column of akita_monthly.csv = sightings + food-damage traces + other traces + injuries, the same 出没 series as the ministry's table (FY2025 total 13,592 in both). Month values copied from akita_monthly.csv; August's as_of equals the month end, so late-filed August reports may still be missing."
akita,秋田,2026,8,251,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003,"秋田県 クマダス (ツキノワグマ出没情報) open data, CC BY 4.0",CSV (CKAN open data),true,"bear_reports column of akita_monthly.csv = sightings + food-damage traces + other traces + injuries, the same 出没 series as the ministry's table (FY2025 total 13,592 in both). Month values copied from akita_monthly.csv; August's as_of equals the month end, so late-filed August reports may still be missing."
akita,秋田,2026,9,,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003,"秋田県 クマダス (ツキノワグマ出没情報) open data, CC BY 4.0",CSV (CKAN open data),true,"bear_reports column of akita_monthly.csv = sightings + food-damage traces + other traces + injuries, the same 出没 series as the ministry's table (FY2025 total 13,592 in both). Month values copied from akita_monthly.csv; August's as_of equals the month end, so late-filed August reports may still be missing."
akita,秋田,2026,10,,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003,"秋田県 クマダス (ツキノワグマ出没情報) open data, CC BY 4.0",CSV (CKAN open data),true,"bear_reports column of akita_monthly.csv = sightings + food-damage traces + other traces + injuries, the same 出没 series as the ministry's table (FY2025 total 13,592 in both). Month values copied from akita_monthly.csv; August's as_of equals the month end, so late-filed August reports may still be missing."
akita,秋田,2026,11,,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003,"秋田県 クマダス (ツキノワグマ出没情報) open data, CC BY 4.0",CSV (CKAN open data),true,"bear_reports column of akita_monthly.csv = sightings + food-damage traces + other traces + injuries, the same 出没 series as the ministry's table (FY2025 total 13,592 in both). Month values copied from akita_monthly.csv; August's as_of equals the month end, so late-filed August reports may still be missing."
akita,秋田,2026,12,,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003,"秋田県 クマダス (ツキノワグマ出没情報) open data, CC BY 4.0",CSV (CKAN open data),true,"bear_reports column of akita_monthly.csv = sightings + food-damage traces + other traces + injuries, the same 出没 series as the ministry's table (FY2025 total 13,592 in both). Month values copied from akita_monthly.csv; August's as_of equals the month end, so late-filed August reports may still be missing."
akita,秋田,2026,1,,2026-08-31,https://ckan.pref.akita.lg.jp/dataset/050008_shizenhogoka_003,"秋田県 クマダス (ツキノワグマ出没情報) open data, CC BY 4.0",CSV (CKAN open data),true,"bear_reports column of akita_monthly.csv = sightings + food-damage traces + other traces + injuries, the same 出没 series as the ministry's table (FY2025 total 13,592 in both). Month values copied from akita_monthly.csv; August's as_of equals the month end, so late-filed August reports may still be missing."
