year,akita_jja_temp_c,akita_jja_precip_mm,morioka_jja_temp_c,morioka_jja_precip_mm,tohoku_office_akita_july_forecast,tohoku_office_akita_autumn_actual,tohoku_office_iwate_autumn_actual,akita_pref_5site,oct_sightings_akita,oct_sightings_iwate,oct_sightings_national
2019,23.6,519.5,22.2,305.5,,,,0○ 0△ 5×,40,65,2679
2020,23.4,607.0,22.4,803.0,,,,0○ 2△ 3×,116,275,4213
2021,24.1,498.5,23.0,410.0,,,,0○ 0△ 5×,100,120,1393
2022,23.4,538.0,22.3,658.5,,,,4○ 0△ 1×,11,51,1026
2023,25.4,558.5,24.5,600.5,大凶作 0.3,大凶作 0.1,大凶作 0.0,0○ 0△ 5×,1472,1627,5983
2024,24.5,492.0,24.0,842.5,並作 2.6,並作 2.6,並作 2.7,3○ 2△ 0×,37,105,2235
2025,25.3,480.0,24.8,341.0,大凶作 0.4,大凶作 0.0,大凶作 0.1,0○ 0△ 5×,5810,3088,15998
2026,24.1,539.0,22.7,579.5,豊作 3.6,,,,,,

mast_year,akita_aprmay_temp_prev,akita_jja_temp_prev,akita_jja_precip_prev,akita_jja_temp_same,akita_jja_precip_same,akita_5site_prev,akita_5site_same,akita_score_same,miyagi_beech_same,oct_sightings_akita
2010,12.7,22.0,548.0,24.1,539.0,0○ 0△ 5×,0○ 0△ 5×,0.0,皆無,
2011,11.1,24.1,539.0,23.2,442.0,0○ 0△ 5×,0○ 1△ 4×,0.1,凶作,
2012,11.3,23.2,442.0,23.4,321.0,0○ 1△ 4×,0○ 0△ 5×,0.0,皆無,
2013,12.4,23.4,321.0,23.4,798.0,0○ 0△ 5×,2○ 1△ 2×,0.5,豊作,16
2014,11.4,23.4,798.0,23.5,588.5,2○ 1△ 2×,0○ 0△ 5×,0.0,皆無,12
2015,12.6,23.5,588.5,22.8,459.5,0○ 0△ 5×,2○ 2△ 1×,0.6,並作,6
2016,13.8,22.8,459.5,23.2,476.5,2○ 2△ 1×,0○ 0△ 5×,0.0,皆無,28
2017,13.7,23.2,476.5,22.4,634.0,0○ 0△ 5×,0○ 1△ 4×,0.1,大凶作,154
2018,13.1,22.4,634.0,23.3,581.0,0○ 1△ 4×,2○ 0△ 3×,0.4,並作,14
2019,12.9,23.3,581.0,23.6,519.5,2○ 0△ 3×,0○ 0△ 5×,0.0,大凶作,40
2020,13.1,23.6,519.5,23.4,607.0,0○ 0△ 5×,0○ 2△ 3×,0.2,大凶作,116
2021,12.1,23.4,607.0,24.1,498.5,0○ 2△ 3×,0○ 0△ 5×,0.0,凶作,100
2022,12.8,24.1,498.5,23.4,538.0,0○ 0△ 5×,4○ 0△ 1×,0.8,凶作,11
2023,13.6,23.4,538.0,25.4,558.5,4○ 0△ 1×,0○ 0△ 5×,0.0,大凶作,1472
2024,13.3,25.4,558.5,24.5,492.0,0○ 0△ 5×,3○ 2△ 0×,0.8,豊作,37
2025,14.2,24.5,492.0,25.3,480.0,3○ 2△ 0×,0○ 0△ 5×,0.0,大凶作,5810
2026,12.9,25.3,480.0,24.1,539.0,0○ 0△ 5×,,,,
